code,date,open,high,low,close,nmVolume
ACB,2020-12-09,28.1,28.95,27.8,28.55,24200930.0
ACB,2020-12-10,28.8,28.8,27.9,27.95,9233750.0
ACB,2020-12-11,28.1,28.25,27.8,28.2,4459820.0
ACB,2020-12-14,28.3,28.5,28.1,28.2,7325960.0
ACB,2020-12-15,28.2,28.25,27.9,28.0,7305490.0
ACB,2020-12-16,28.0,28.45,28.0,28.25,10461450.0
ACB,2020-12-17,28.1,28.85,28.05,28.3,13567290.0
ACB,2020-12-18,28.45,28.65,28.3,28.4,11693630.0
ACB,2020-12-21,28.5,29.3,28.35,28.95,22481640.0
ACB,2020-12-22,28.95,29.0,28.6,28.75,7573290.0
ACB,2020-12-23,28.8,28.85,28.0,28.1,11216860.0
ACB,2020-12-24,28.1,28.3,26.5,27.3,15831250.0
ACB,2020-12-25,27.3,28.0,27.2,27.95,9194080.0
ACB,2020-12-28,28.3,28.3,27.65,27.8,6223680.0
ACB,2020-12-29,27.8,27.95,27.6,27.7,6501920.0
ACB,2020-12-30,27.75,28.2,27.75,27.8,6741290.0
ACB,2020-12-31,27.9,28.3,27.85,28.1,6774680.0
ACB,2021-01-04,28.55,28.85,28.5,28.65,10776300.0
ACB,2021-01-05,28.6,29.6,28.3,29.35,18693900.0
ACB,2021-01-06,29.7,30.6,29.3,29.9,15883900.0
ACB,2021-01-07,29.9,30.0,29.6,29.9,11636100.0
ACB,2021-01-08,29.95,30.4,29.8,30.2,15519300.0
ACB,2021-01-11,30.5,30.9,30.15,30.35,9821800.0
ACB,2021-01-12,30.25,30.3,29.95,30.1,9277600.0
ACB,2021-01-13,30.3,30.35,29.7,29.85,9915300.0
ACB,2021-01-14,29.9,29.9,29.2,29.85,8491200.0
ACB,2021-01-15,30.0,30.4,29.95,30.25,8184100.0
ACB,2021-01-18,30.35,30.5,29.9,29.95,8419100.0
ACB,2021-01-19,29.8,29.9,27.9,27.9,13077400.0
ACB,2021-01-20,28.0,28.3,26.3,28.3,12323000.0
ACB,2021-01-21,28.8,29.1,28.35,28.95,6535000.0
ACB,2021-01-22,28.9,29.1,28.5,28.65,5438100.0
ACB,2021-01-25,28.3,28.5,28.05,28.1,7683600.0
ACB,2021-01-26,28.05,28.65,27.5,27.8,8096200.0
ACB,2021-01-27,27.8,28.35,27.2,27.5,6387700.0
ACB,2021-01-28,26.0,26.7,25.6,25.6,15154800.0
ACB,2021-01-29,24.5,26.9,24.5,26.8,7621200.0
ACB,2021-02-01,26.8,27.4,26.3,26.65,7528200.0
ACB,2021-02-02,26.65,27.4,26.35,27.35,6544600.0
ACB,2021-02-03,27.35,28.2,27.2,28.1,7054500.0
ACB,2021-02-04,28.1,28.2,27.8,28.2,4250800.0
ACB,2021-02-05,28.2,28.65,28.15,28.5,5610600.0
ACB,2021-02-08,28.5,28.75,27.2,27.5,5755400.0
ACB,2021-02-09,27.5,28.55,27.3,28.55,5954800.0
ACB,2021-02-17,28.8,29.5,28.7,29.4,6855800.0
ACB,2021-02-18,29.4,29.45,28.8,29.15,5547900.0
ACB,2021-02-19,29.0,31.15,28.9,31.1,31184200.0
ACB,2021-02-22,31.5,32.2,31.1,31.6,12587300.0
ACB,2021-02-23,31.85,32.25,31.45,31.7,13951000.0
ACB,2021-02-24,31.65,31.85,31.0,31.2,18685200.0
ACB,2021-02-25,31.5,32.45,31.1,32.4,15014200.0
ACB,2021-02-26,31.9,33.35,31.9,33.05,13071400.0
ACB,2021-03-01,33.4,33.45,32.9,33.25,8464900.0
ACB,2021-03-02,33.4,33.45,32.8,33.0,9574100.0
ACB,2021-03-03,32.9,33.45,32.7,33.25,9072300.0
ACB,2021-03-04,33.4,33.4,32.05,32.4,9814000.0
ACB,2021-03-05,32.1,32.6,31.6,32.45,10157000.0
ACB,2021-03-08,32.5,32.7,31.55,31.8,16047000.0
ACB,2021-03-09,31.5,32.3,31.1,32.05,8819900.0
ACB,2021-03-10,32.1,33.2,31.9,32.75,12152700.0
ACB,2021-03-11,33.0,33.1,32.75,33.0,7124300.0
ACB,2021-03-12,33.0,33.05,32.65,32.95,5195500.0
ACB,2021-03-15,33.0,33.85,32.6,33.5,18052500.0
ACB,2021-03-16,33.4,33.7,33.05,33.45,6112900.0
ACB,2021-03-17,33.45,33.55,33.2,33.5,6246400.0
ACB,2021-03-18,33.9,34.25,33.5,33.95,10281900.0
ACB,2021-03-19,33.95,34.2,33.7,33.8,7108900.0
ACB,2021-03-22,34.05,34.1,33.35,33.4,8706000.0
ACB,2021-03-23,33.55,33.55,32.8,33.0,10347000.0
ACB,2021-03-24,32.4,32.75,32.05,32.45,9941600.0
ACB,2021-03-25,32.45,32.6,31.9,32.05,8322000.0
ACB,2021-03-26,32.0,32.45,31.35,32.45,7931700.0
ACB,2021-03-29,32.9,33.1,32.4,33.0,6981300.0
ACB,2021-03-30,33.1,33.5,32.75,33.3,8053200.0
ACB,2021-03-31,33.5,33.8,33.25,33.3,4986100.0
ACB,2021-04-01,33.45,33.85,33.3,33.85,10439300.0
ACB,2021-04-02,34.2,35.0,34.0,34.65,13979400.0
ACB,2021-04-05,35.3,35.3,34.6,34.75,7433500.0
ACB,2021-04-06,34.7,34.95,34.15,34.75,7565000.0
ACB,2021-04-07,34.5,34.7,34.3,34.4,6400900.0
ACB,2021-04-08,34.35,34.7,34.2,34.4,4687900.0
ACB,2021-04-09,34.3,34.6,34.2,34.4,5401500.0
ACB,2021-04-12,34.6,35.2,34.45,35.15,12513500.0
ACB,2021-04-13,35.35,35.5,34.4,34.6,8736000.0
ACB,2021-04-14,34.3,34.75,34.15,34.6,5073300.0
ACB,2021-04-15,34.65,34.7,33.8,33.85,9686700.0
ACB,2021-04-16,33.8,34.05,32.7,33.1,8403400.0
ACB,2021-04-19,33.5,33.75,32.8,33.7,4291900.0
ACB,2021-04-20,34.0,34.4,33.2,33.6,7166900.0
ACB,2021-04-22,33.4,33.6,32.5,32.5,7843500.0
ACB,2021-04-23,32.4,33.45,32.1,33.4,6687700.0
ACB,2021-04-26,33.4,33.4,32.6,33.3,7119100.0
ACB,2021-04-27,33.0,34.0,32.65,34.0,6393000.0
ACB,2021-04-28,33.5,34.3,33.4,33.8,5675200.0
ACB,2021-04-29,33.8,34.65,33.6,34.65,16646300.0
ACB,2021-05-04,34.0,34.75,33.5,34.45,9333200.0
ACB,2021-05-05,34.6,35.85,34.6,35.3,17558400.0
ACB,2021-05-06,35.3,35.35,34.65,34.8,7783800.0
ACB,2021-05-07,34.5,35.4,34.5,35.2,12059100.0
ACB,2021-05-10,35.2,36.35,35.2,36.2,13491300.0
ACB,2021-05-11,36.4,36.4,35.8,35.8,9777000.0
ACB,2021-05-12,35.55,36.15,35.4,36.15,8991300.0
ACB,2021-05-13,35.7,36.95,35.7,36.2,11724300.0
ACB,2021-05-14,36.4,36.7,36.05,36.45,6118400.0
ACB,2021-05-17,37.0,37.2,36.45,36.55,9278700.0
ACB,2021-05-18,36.6,36.6,35.9,36.25,7881100.0
ACB,2021-05-19,36.2,36.7,35.9,36.6,8143500.0
ACB,2021-05-20,36.6,37.5,36.6,37.4,12263200.0
ACB,2021-05-21,37.4,38.3,37.3,37.5,9146500.0
ACB,2021-05-24,37.85,37.85,37.25,37.5,7546600.0
ACB,2021-05-25,37.5,38.25,37.3,38.0,8757400.0
ACB,2021-05-26,38.05,38.65,38.05,38.45,9976000.0
ACB,2021-05-27,38.5,39.15,37.9,38.2,9551700.0
ACB,2021-05-28,38.2,38.9,38.05,38.9,9416000.0
ACB,2021-05-31,39.5,41.45,39.0,41.4,16030300.0
ACB,2021-06-01,42.5,42.9,42.0,42.1,11159800.0
ACB,2021-06-02,42.65,44.6,42.5,44.6,16009600.0
ACB,2021-06-03,46.3,46.3,44.6,45.9,12265700.0
ACB,2021-06-04,45.0,45.9,45.0,45.3,9488100.0
ACB,2021-06-07,44.9,44.9,42.25,43.0,18505000.0
ACB,2021-06-08,42.55,43.4,40.2,40.2,14322800.0
ACB,2021-06-09,40.2,42.6,40.0,42.45,12565100.0
ACB,2021-06-10,34.5,35.35,34.1,34.1,14000300.0
ACB,2021-06-11,34.4,35.1,33.8,34.65,9532300.0
ACB,2021-06-14,34.65,34.9,33.85,34.1,10946100.0
ACB,2021-06-15,34.1,36.2,33.5,35.35,18178200.0
ACB,2021-06-16,35.35,35.45,34.5,34.7,8211200.0
ACB,2021-06-17,34.0,35.0,33.7,34.9,6392600.0
ACB,2021-06-18,35.2,35.5,34.9,35.0,9215200.0
ACB,2021-06-21,34.9,35.2,34.65,34.75,5447600.0
ACB,2021-06-22,35.2,36.0,34.85,35.65,14872000.0
ACB,2021-06-23,35.9,36.4,35.7,35.8,10244600.0
ACB,2021-06-24,36.0,36.45,35.6,36.2,11494200.0
ACB,2021-06-25,36.2,36.6,36.05,36.35,7934000.0
ACB,2021-06-28,36.7,36.8,36.3,36.7,7937700.0
ACB,2021-06-29,36.9,36.95,36.45,36.45,6677700.0
ACB,2021-06-30,36.4,36.5,35.6,35.7,9628000.0
ACB,2021-07-01,35.55,36.2,35.1,35.95,10393200.0
ACB,2021-07-02,36.3,36.4,36.0,36.1,6407100.0
ACB,2021-07-05,36.3,38.1,35.9,37.95,16668600.0
ACB,2021-07-06,38.0,38.2,36.0,36.0,10070000.0
ACB,2021-07-07,36.0,36.9,35.1,36.55,10121600.0
ACB,2021-07-08,36.55,37.2,36.0,36.2,7351900.0
